id,schema_name,score,gold_masked_text,predicted_masked_text,normalized_gold,normalized_predicted
a_account_number_011,account_number,1,老闆好，這是我的薪轉帳戶資料，玉山銀行七賢分行，帳號是[account_number]，如果有缺什麼資料再跟我說。,老闆好，這是我的薪轉帳戶資料，玉山銀行七賢分行，帳號是[account_number]，如果有缺什麼資料再跟我說。,老闆好，這是我的薪轉帳戶資料，玉山銀行七賢分行，帳號是[account_number]，如果有缺什麼資料再跟我說。,老闆好，這是我的薪轉帳戶資料，玉山銀行七賢分行，帳號是[account_number]，如果有缺什麼資料再跟我說。
a_account_number_012,account_number,1,你好，我想取消下個月的健身房訂閱，當初綁定的信用卡是台新狗狗卡，卡號[account_number]，麻煩幫我處理退訂。,你好，我想取消下個月的健身房訂閱，當初綁定的信用卡是台新狗狗卡，卡號[account_number]，麻煩幫我處理退訂。,你好，我想取消下個月的健身房訂閱，當初綁定的信用卡是台新狗狗卡，卡號[account_number]，麻煩幫我處理退訂。,你好，我想取消下個月的健身房訂閱，當初綁定的信用卡是台新狗狗卡，卡號[account_number]，麻煩幫我處理退訂。
a_account_number_013,account_number,0,社長好！我想加入吉他社，我是今年剛入學的新生，名字是[private_person]，學號是[account_number]，我的LINE ID是[private_url]。,社長好！我想加入吉他社，我是今年剛入學的新生，名字是[private_person]，學號是[account_number]，我的LINE ID是[private_email]。,社長好！我想加入吉他社，我是今年剛入學的新生，名字是[private_person]，學號是[account_number]，我的LINEID是[private_url]。,社長好！我想加入吉他社，我是今年剛入學的新生，名字是[private_person]，學號是[account_number]，我的LINEID是[private_email]。
a_account_number_014,account_number,1,會計部您好，這是上個月去新竹出差的高鐵票根跟計程車收據，我是研發部的[private_person]，員編[account_number]，請幫我辦理核銷。,會計部您好，這是上個月去新竹出差的高鐵票根跟計程車收據，我是研發部的[private_person]，員編[account_number]，請幫我辦理核銷。,會計部您好，這是上個月去新竹出差的高鐵票根跟計程車收據，我是研發部的[private_person]，員編[account_number]，請幫我辦理核銷。,會計部您好，這是上個月去新竹出差的高鐵票根跟計程車收據，我是研發部的[private_person]，員編[account_number]，請幫我辦理核銷。
a_account_number_015,account_number,0,富邦產險客服您好，我想查詢我的防疫險理賠進度，我的身分證字號是[account_number]，保單號碼是[account_number]。,富邦產險客服您好，我想查詢我的防疫險理賠進度，我的身分證字號是[private_id]，保單號碼是[account_number]。,富邦產險客服您好，我想查詢我的防疫險理賠進度，我的身分證字號是[account_number]，保單號碼是[account_number]。,富邦產險客服您好，我想查詢我的防疫險理賠進度，我的身分證字號是[private_id]，保單號碼是[account_number]。
a_account_number_016,account_number,1,大家昨天的聚餐費用是一人650元喔！請匯款到我的台新Richart帳戶，帳號[account_number]，匯完再跟我說一聲。,大家昨天的聚餐費用是一人650元喔！請匯款到我的台新Richart帳戶，帳號[account_number]，匯完再跟我說一聲。,大家昨天的聚餐費用是一人650元喔！請匯款到我的台新Richart帳戶，帳號[account_number]，匯完再跟我說一聲。,大家昨天的聚餐費用是一人650元喔！請匯款到我的台新Richart帳戶，帳號[account_number]，匯完再跟我說一聲。
a_account_number_017,account_number,1,您好，我想要預訂[private_date]的雙人房，我用國泰世華的信用卡付訂金，卡號是[account_number]，授權碼是[secret]。,您好，我想要預訂[private_date]的雙人房，我用國泰世華的信用卡付訂金，卡號是[account_number]，授權碼是[secret]。,您好，我想要預訂[private_date]的雙人房，我用國泰世華的信用卡付訂金，卡號是[account_number]，授權碼是[secret]。,您好，我想要預訂[private_date]的雙人房，我用國泰世華的信用卡付訂金，卡號是[account_number]，授權碼是[secret]。
a_account_number_018,account_number,1,同學你好，我剛剛在綜合大樓的二樓女廁撿到你的學生證，看上面的學號是[account_number]，我幫你拿去生輔組的失物招領處了。,同學你好，我剛剛在綜合大樓的二樓女廁撿到你的學生證，看上面的學號是[account_number]，我幫你拿去生輔組的失物招領處了。,同學你好，我剛剛在綜合大樓的二樓女廁撿到你的學生證，看上面的學號是[account_number]，我幫你拿去生輔組的失物招領處了。,同學你好，我剛剛在綜合大樓的二樓女廁撿到你的學生證，看上面的學號是[account_number]，我幫你拿去生輔組的失物招領處了。
a_account_number_019,account_number,0,警衛大哥早安，我不小心把門禁卡忘在[private_address]的家裡了，我是企劃部的人員，員編[account_number]，可以幫我開個臨時卡嗎？,警衛大哥早安，我不小心把門禁卡忘在新北市[private_address]的家裡了，我是企劃部的人員，員編[account_number]，可以幫我開個臨時卡嗎？,警衛大哥早安，我不小心把門禁卡忘在[private_address]的家裡了，我是企劃部的人員，員編[account_number]，可以幫我開個臨時卡嗎？,警衛大哥早安，我不小心把門禁卡忘在新北市[private_address]的家裡了，我是企劃部的人員，員編[account_number]，可以幫我開個臨時卡嗎？
a_account_number_020,account_number,1,我要辦理變更受益人，這份國泰人壽的保單號碼是[account_number]，新的受益人是我的兒子[private_person]。,我要辦理變更受益人，這份國泰人壽的保單號碼是[account_number]，新的受益人是我的兒子[private_person]。,我要辦理變更受益人，這份國泰人壽的保單號碼是[account_number]，新的受益人是我的兒子[private_person]。,我要辦理變更受益人，這份國泰人壽的保單號碼是[account_number]，新的受益人是我的兒子[private_person]。
a_private_address_001,private_address,1,麻煩幫我把包裹寄到 [private_address]，收件人是 [private_person]，電話 [private_phone]。,麻煩幫我把包裹寄到 [private_address]，收件人是 [private_person]，電話 [private_phone]。,麻煩幫我把包裹寄到[private_address]，收件人是[private_person]，電話[private_phone]。,麻煩幫我把包裹寄到[private_address]，收件人是[private_person]，電話[private_phone]。
a_private_address_002,private_address,1,您好，我要更改信用卡的帳單地址，新的地址是 [private_address]，再麻煩客服協助處理。,您好，我要更改信用卡的帳單地址，新的地址是 [private_address]，再麻煩客服協助處理。,您好，我要更改信用卡的帳單地址，新的地址是[private_address]，再麻煩客服協助處理。,您好，我要更改信用卡的帳單地址，新的地址是[private_address]，再麻煩客服協助處理。
a_private_address_003,private_address,1,請問這個黑貓宅急便有送山區嗎？我的收件地址在 [private_address]。,請問這個黑貓宅急便有送山區嗎？我的收件地址在 [private_address]。,請問這個黑貓宅急便有送山區嗎？我的收件地址在[private_address]。,請問這個黑貓宅急便有送山區嗎？我的收件地址在[private_address]。
a_private_address_004,private_address,0,老闆你好，請問寄到 [private_address] 運費要加多少錢？如果加 LINE ID [private_url] 可以免運嗎？,老闆你好，請問寄到 [private_address] 運費要加多少錢？如果加 LINE ID [private_email] 可以免運嗎？,老闆你好，請問寄到[private_address]運費要加多少錢？如果加LINEID[private_url]可以免運嗎？,老闆你好，請問寄到[private_address]運費要加多少錢？如果加LINEID[private_email]可以免運嗎？
a_private_address_005,private_address,1,國外網購的收件地址我填寫 [private_address]，不知道郵差看不看得懂？,國外網購的收件地址我填寫 [private_address]，不知道郵差看不看得懂？,國外網購的收件地址我填寫[private_address]，不知道郵差看不看得懂？,國外網購的收件地址我填寫[private_address]，不知道郵差看不看得懂？
a_private_address_006,private_address,0,房東您好，租賃契約上的戶籍地址請幫我寫 [private_address]，我的身分證字號是 [account_number]。,房東您好，租賃契約上的戶籍地址請幫我寫 [private_address]，我的身分證字號是 [secret]。,房東您好，租賃契約上的戶籍地址請幫我寫[private_address]，我的身分證字號是[account_number]。,房東您好，租賃契約上的戶籍地址請幫我寫[private_address]，我的身分證字號是[secret]。
a_private_address_007,private_address,1,我剛辦完戶籍遷出，現在戶籍地已經改成 [private_address] 了，請問這樣還符合補助資格嗎？,我剛辦完戶籍遷出，現在戶籍地已經改成 [private_address] 了，請問這樣還符合補助資格嗎？,我剛辦完戶籍遷出，現在戶籍地已經改成[private_address]了，請問這樣還符合補助資格嗎？,我剛辦完戶籍遷出，現在戶籍地已經改成[private_address]了，請問這樣還符合補助資格嗎？
a_private_address_008,private_address,1,我們這次馬祖包車旅遊的接送地點在 [private_address] 的民宿，預計 [private_date] 早上出發。,我們這次馬祖包車旅遊的接送地點在 [private_address] 的民宿，預計 [private_date] 早上出發。,我們這次馬祖包車旅遊的接送地點在[private_address]的民宿，預計[private_date]早上出發。,我們這次馬祖包車旅遊的接送地點在[private_address]的民宿，預計[private_date]早上出發。
a_private_address_009,private_address,1,護理師你好，初診單我填好了，我的聯絡地址是 [private_address]，預約看診日是 [private_date]。,護理師你好，初診單我填好了，我的聯絡地址是 [private_address]，預約看診日是 [private_date]。,護理師你好，初診單我填好了，我的聯絡地址是[private_address]，預約看診日是[private_date]。,護理師你好，初診單我填好了，我的聯絡地址是[private_address]，預約看診日是[private_date]。
a_private_address_010,private_address,0,警察先生我要報案，我家地址是 [private_address]，門口剛剛停了一台車牌 ABC-1234 的機車擋住出入。,警察先生我要報案，我家地址是 [private_address]，門口剛剛停了一台車牌 [secret] 的機車擋住出入。,警察先生我要報案，我家地址是[private_address]，門口剛剛停了一台車牌ABC-1234的機車擋住出入。,警察先生我要報案，我家地址是[private_address]，門口剛剛停了一台車牌[secret]的機車擋住出入。
a_private_address_011,private_address,1,外送員你好，我點的餐請幫我放在 [private_address] 的鞋櫃上，到了不用打 [private_phone] 給我，謝謝。,外送員你好，我點的餐請幫我放在 [private_address] 的鞋櫃上，到了不用打 [private_phone] 給我，謝謝。,外送員你好，我點的餐請幫我放在[private_address]的鞋櫃上，到了不用打[private_phone]給我，謝謝。,外送員你好，我點的餐請幫我放在[private_address]的鞋櫃上，到了不用打[private_phone]給我，謝謝。
a_private_address_012,private_address,1,申請書上的現居地址我填 [private_address]，公司統編是 [account_number]。,申請書上的現居地址我填 [private_address]，公司統編是 [account_number]。,申請書上的現居地址我填[private_address]，公司統編是[account_number]。,申請書上的現居地址我填[private_address]，公司統編是[account_number]。
a_private_address_013,private_address,1,面試官您好，我的通訊地址是 [private_address]，如果有錄取通知請寄到我的信箱 [private_email]。,面試官您好，我的通訊地址是 [private_address]，如果有錄取通知請寄到我的信箱 [private_email]。,面試官您好，我的通訊地址是[private_address]，如果有錄取通知請寄到我的信箱[private_email]。,面試官您好，我的通訊地址是[private_address]，如果有錄取通知請寄到我的信箱[private_email]。
a_private_address_014,private_address,1,台電客服您好，我要補單，用電地址是 [private_address]，請問電費最晚什麼時候要繳？,台電客服您好，我要補單，用電地址是 [private_address]，請問電費最晚什麼時候要繳？,台電客服您好，我要補單，用電地址是[private_address]，請問電費最晚什麼時候要繳？,台電客服您好，我要補單，用電地址是[private_address]，請問電費最晚什麼時候要繳？
a_private_address_015,private_address,0,鄉民揪團的衣服我匯款了，郵寄地址是 [private_address]，我的 PTT 帳號是 kaohsiung_king。,鄉民揪團的衣服我匯款了，郵寄地址是 [private_address]，我的 PTT 帳號是 [private_person]。,鄉民揪團的衣服我匯款了，郵寄地址是[private_address]，我的PTT帳號是kaohsiung_king。,鄉民揪團的衣服我匯款了，郵寄地址是[private_address]，我的PTT帳號是[private_person]。
a_private_address_016,private_address,1,為了申請外商銀行的帳戶，我把英文戶籍地址翻譯成 [private_address]。,為了申請外商銀行的帳戶，我把英文戶籍地址翻譯成 [private_address]。,為了申請外商銀行的帳戶，我把英文戶籍地址翻譯成[private_address]。,為了申請外商銀行的帳戶，我把英文戶籍地址翻譯成[private_address]。
a_private_address_017,private_address,1,我在 [private_date] 訂的商品到現在都沒收到！送貨地址明明就寫 [private_address]，請幫我查一下進度。,我在 [private_date] 訂的商品到現在都沒收到！送貨地址明明就寫 [private_address]，請幫我查一下進度。,我在[private_date]訂的商品到現在都沒收到！送貨地址明明就寫[private_address]，請幫我查一下進度。,我在[private_date]訂的商品到現在都沒收到！送貨地址明明就寫[private_address]，請幫我查一下進度。
a_private_address_018,private_address,1,申辦光世代網路要填寫裝機地址，請幫我設定在 [private_address]，我們家的戶號是 [account_number]。,申辦光世代網路要填寫裝機地址，請幫我設定在 [private_address]，我們家的戶號是 [account_number]。,申辦光世代網路要填寫裝機地址，請幫我設定在[private_address]，我們家的戶號是[account_number]。,申辦光世代網路要填寫裝機地址，請幫我設定在[private_address]，我們家的戶號是[account_number]。
a_private_address_019,private_address,1,您好，我想訂閱一年的科學人雜誌，每期的雜誌請幫我寄到 [private_address] 的社區管理室代收。,您好，我想訂閱一年的科學人雜誌，每期的雜誌請幫我寄到 [private_address] 的社區管理室代收。,您好，我想訂閱一年的科學人雜誌，每期的雜誌請幫我寄到[private_address]的社區管理室代收。,您好，我想訂閱一年的科學人雜誌，每期的雜誌請幫我寄到[private_address]的社區管理室代收。
a_private_address_020,private_address,1,1999市民專線您好，我是 [private_person]，我要檢舉我家 [private_address] 騎樓長期有違規停車擋住出入。,1999市民專線您好，我是 [private_person]，我要檢舉我家 [private_address] 騎樓長期有違規停車擋住出入。,1999市民專線您好，我是[private_person]，我要檢舉我家[private_address]騎樓長期有違規停車擋住出入。,1999市民專線您好，我是[private_person]，我要檢舉我家[private_address]騎樓長期有違規停車擋住出入。
a_private_date_001,private_date,1,醫師你好，我阿嬤[private_person]的出生年月日是[private_date]，這她的健保卡號[account_number]，麻煩幫她掛號。,醫師你好，我阿嬤[private_person]的出生年月日是[private_date]，這她的健保卡號[account_number]，麻煩幫她掛號。,醫師你好，我阿嬤[private_person]的出生年月日是[private_date]，這她的健保卡號[account_number]，麻煩幫她掛號。,醫師你好，我阿嬤[private_person]的出生年月日是[private_date]，這她的健保卡號[account_number]，麻煩幫她掛號。
a_private_date_002,private_date,1,HR 您好，我是[private_person]，我確認可以接受貴公司的 offer，預計[private_date]報到，再麻煩將入職指南寄到我的信箱 [private_email]。,HR 您好，我是[private_person]，我確認可以接受貴公司的 offer，預計[private_date]報到，再麻煩將入職指南寄到我的信箱 [private_email]。,HR您好，我是[private_person]，我確認可以接受貴公司的offer，預計[private_date]報到，再麻煩將入職指南寄到我的信箱[private_email]。,HR您好，我是[private_person]，我確認可以接受貴公司的offer，預計[private_date]報到，再麻煩將入職指南寄到我的信箱[private_email]。
a_private_date_003,private_date,0,客服您好，我要查詢這期帳單，身分證字號是[account_number]，生日是[private_date]，對，手機號碼一樣是這支。,客服您好，我要查詢這期帳單，身分證字號是[secret]，生日是[private_date]，對，手機號碼一樣是這支。,客服您好，我要查詢這期帳單，身分證字號是[account_number]，生日是[private_date]，對，手機號碼一樣是這支。,客服您好，我要查詢這期帳單，身分證字號是[secret]，生日是[private_date]，對，手機號碼一樣是這支。
a_private_date_004,private_date,0,警察先生我要報案，我在[private_date]下午三點左右在路口被一輛車牌ABC-5678的休旅車擦撞，這是我的聯絡電話[private_phone]。,警察先生我要報案，我在[private_date]下午三點左右在路口被一輛車牌[secret]的休旅車擦撞，這是我的聯絡電話[private_phone]。,警察先生我要報案，我在[private_date]下午三點左右在路口被一輛車牌ABC-5678的休旅車擦撞，這是我的聯絡電話[private_phone]。,警察先生我要報案，我在[private_date]下午三點左右在路口被一輛車牌[secret]的休旅車擦撞，這是我的聯絡電話[private_phone]。
a_private_date_005,private_date,1,房東太太你好，我是看房的[private_person]，我們決定租了，希望起租日押在[private_date]，合約寄到[private_address]。,房東太太你好，我是看房的[private_person]，我們決定租了，希望起租日押在[private_date]，合約寄到[private_address]。,房東太太你好，我是看房的[private_person]，我們決定租了，希望起租日押在[private_date]，合約寄到[private_address]。,房東太太你好，我是看房的[private_person]，我們決定租了，希望起租日押在[private_date]，合約寄到[private_address]。
a_private_date_006,private_date,0,您好，我要掛失信用卡，卡號末四碼是[account_number]，持卡人是我本人，生日是[private_date]，請幫我停卡。,您好，我要掛失信用卡，卡號末四碼是4321，持卡人是我本人，生日是[private_date]，請幫我停卡。,您好，我要掛失信用卡，卡號末四碼是[account_number]，持卡人是我本人，生日是[private_date]，請幫我停卡。,您好，我要掛失信用卡，卡號末四碼是4321，持卡人是我本人，生日是[private_date]，請幫我停卡。
a_private_date_007,private_date,1,系辦你好，我是企管三的[private_person]，學號[account_number]，因為家裡有急事需要請假，請假期間為[private_date]到[private_date]。,系辦你好，我是企管三的[private_person]，學號[account_number]，因為家裡有急事需要請假，請假期間為[private_date]到[private_date]。,系辦你好，我是企管三的[private_person]，學號[account_number]，因為家裡有急事需要請假，請假期間為[private_date]到[private_date]。,系辦你好，我是企管三的[private_person]，學號[account_number]，因為家裡有急事需要請假，請假期間為[private_date]到[private_date]。
a_private_date_008,private_date,0,老師您好，我想算紫微斗數，我的農曆生日是[private_date]早上六點生，算好之後麻煩加我的 LINE ID：[private_url] 通知我。,老師您好，我想算紫微斗數，我的農曆生日是[private_date]早上六點生，算好之後麻煩加我的 LINE ID：[private_email] 通知我。,老師您好，我想算紫微斗數，我的農曆生日是[private_date]早上六點生，算好之後麻煩加我的LINEID：[private_url]通知我。,老師您好，我想算紫微斗數，我的農曆生日是[private_date]早上六點生，算好之後麻煩加我的LINEID：[private_email]通知我。
a_private_date_009,private_date,1,理賠專員您好，我要申請意外險理賠，保單號碼[account_number]，事故發生日期是[private_date]，相關醫療收據我已經準備好了。,理賠專員您好，我要申請意外險理賠，保單號碼[account_number]，事故發生日期是[private_date]，相關醫療收據我已經準備好了。,理賠專員您好，我要申請意外險理賠，保單號碼[account_number]，事故發生日期是[private_date]，相關醫療收據我已經準備好了。,理賠專員您好，我要申請意外險理賠，保單號碼[account_number]，事故發生日期是[private_date]，相關醫療收據我已經準備好了。
a_private_date_010,private_date,0,司機大哥你好，我今天不在家，包裹可以改到[private_date]再送嗎？到時候直接打我手機[private_phone]。,司機大哥你好，我今天不在家，包裹可以改到本週五[private_date]再送嗎？到時候直接打我手機[private_phone]。,司機大哥你好，我今天不在家，包裹可以改到[private_date]再送嗎？到時候直接打我手機[private_phone]。,司機大哥你好，我今天不在家，包裹可以改到本週五[private_date]再送嗎？到時候直接打我手機[private_phone]。
a_private_date_011,private_date,1,承辦人你好，我要申請戶籍謄本，戶號是[account_number]，戶長是[private_person]，出生日期[private_date]，請問這樣資料齊全嗎？,承辦人你好，我要申請戶籍謄本，戶號是[account_number]，戶長是[private_person]，出生日期[private_date]，請問這樣資料齊全嗎？,承辦人你好，我要申請戶籍謄本，戶號是[account_number]，戶長是[private_person]，出生日期[private_date]，請問這樣資料齊全嗎？,承辦人你好，我要申請戶籍謄本，戶號是[account_number]，戶長是[private_person]，出生日期[private_date]，請問這樣資料齊全嗎？
a_private_date_012,private_date,1,診所您好，我是[private_person]，我有預約[private_date]下午兩點洗牙，因為臨時要開會想改成下下週，請問還有空檔嗎？,診所您好，我是[private_person]，我有預約[private_date]下午兩點洗牙，因為臨時要開會想改成下下週，請問還有空檔嗎？,診所您好，我是[private_person]，我有預約[private_date]下午兩點洗牙，因為臨時要開會想改成下下週，請問還有空檔嗎？,診所您好，我是[private_person]，我有預約[private_date]下午兩點洗牙，因為臨時要開會想改成下下週，請問還有空檔嗎？
a_private_date_013,private_date,0,報告連長，二兵[private_person]，兵籍號碼[account_number]，預計於[private_date]入營報到，懇請核准喪假申請。,報告連長，二兵王[private_person]，兵籍號碼[account_number]，預計於[private_date]入營報到，懇請核准喪假申請。,報告連長，二兵[private_person]，兵籍號碼[account_number]，預計於[private_date]入營報到，懇請核准喪假申請。,報告連長，二兵王[private_person]，兵籍號碼[account_number]，預計於[private_date]入營報到，懇請核准喪假申請。
a_private_date_014,private_date,1,客服您好，退款麻煩匯到我的台新銀行帳號[account_number]，我是[private_date]收到商品的，還在七天鑑賞期內。,客服您好，退款麻煩匯到我的台新銀行帳號[account_number]，我是[private_date]收到商品的，還在七天鑑賞期內。,客服您好，退款麻煩匯到我的台新銀行帳號[account_number]，我是[private_date]收到商品的，還在七天鑑賞期內。,客服您好，退款麻煩匯到我的台新銀行帳號[account_number]，我是[private_date]收到商品的，還在七天鑑賞期內。
a_private_date_015,private_date,0,旅行社你好，我要確認機票開票資料，我的護照號碼是[account_number]，護照效期到[private_date]，再麻煩幫我確認有沒有拼錯。,旅行社你好，我要確認機票開票資料，我的護照號碼是[secret]，護照效期到[private_date]，再麻煩幫我確認有沒有拼錯。,旅行社你好，我要確認機票開票資料，我的護照號碼是[account_number]，護照效期到[private_date]，再麻煩幫我確認有沒有拼錯。,旅行社你好，我要確認機票開票資料，我的護照號碼是[secret]，護照效期到[private_date]，再麻煩幫我確認有沒有拼錯。
a_private_date_016,private_date,0,請問有版友也是[private_date]的嗎？我最近想轉職，可以站內信聊聊，我的 PTT 帳號是happyboy80，希望可以交流一下科技業的面試經驗。,請問有版友也是80年次的嗎？我最近想轉職，可以站內信聊聊，我的 PTT 帳號是[secret]，希望可以交流一下科技業的面試經驗。,請問有版友也是[private_date]的嗎？我最近想轉職，可以站內信聊聊，我的PTT帳號是happyboy80，希望可以交流一下科技業的面試經驗。,請問有版友也是80年次的嗎？我最近想轉職，可以站內信聊聊，我的PTT帳號是[secret]，希望可以交流一下科技業的面試經驗。
a_private_date_017,private_date,0,您好，我是[private_person]，醫事人員字號[account_number]，我的執業執照預計在[private_date]到期，想詢問換發的流程。,您好，我是[private_person]，醫事人員字號[secret]，我的執業執照預計在[private_date]到期，想詢問換發的流程。,您好，我是[private_person]，醫事人員字號[account_number]，我的執業執照預計在[private_date]到期，想詢問換發的流程。,您好，我是[private_person]，醫事人員字號[secret]，我的執業執照預計在[private_date]到期，想詢問換發的流程。
a_private_date_018,private_date,1,中華電信你好，我要辦理寬頻網路移機，新地址在[private_address]，希望工程師可以在[private_date]來牽線。,中華電信你好，我要辦理寬頻網路移機，新地址在[private_address]，希望工程師可以在[private_date]來牽線。,中華電信你好，我要辦理寬頻網路移機，新地址在[private_address]，希望工程師可以在[private_date]來牽線。,中華電信你好，我要辦理寬頻網路移機，新地址在[private_address]，希望工程師可以在[private_date]來牽線。
a_private_date_019,private_date,1,拓元客服您好，我剛剛買演唱會門票刷卡失敗，但銀行有傳 OTP 密碼[secret]給我，請問我這樣有算在[private_date]的優先購票資格內嗎？,拓元客服您好，我剛剛買演唱會門票刷卡失敗，但銀行有傳 OTP 密碼[secret]給我，請問我這樣有算在[private_date]的優先購票資格內嗎？,拓元客服您好，我剛剛買演唱會門票刷卡失敗，但銀行有傳OTP密碼[secret]給我，請問我這樣有算在[private_date]的優先購票資格內嗎？,拓元客服您好，我剛剛買演唱會門票刷卡失敗，但銀行有傳OTP密碼[secret]給我，請問我這樣有算在[private_date]的優先購票資格內嗎？
a_private_date_020,private_date,0,監理站您好，我要查詢交通違規罰單，我的駕照號碼是[account_number]，違規日期大約是[private_date]左右，請問要在哪裡繳納？,監理站您好，我要查詢交通違規罰單，我的駕照號碼是[secret]，違規日期大約是[private_date]左右，請問要在哪裡繳納？,監理站您好，我要查詢交通違規罰單，我的駕照號碼是[account_number]，違規日期大約是[private_date]左右，請問要在哪裡繳納？,監理站您好，我要查詢交通違規罰單，我的駕照號碼是[secret]，違規日期大約是[private_date]左右，請問要在哪裡繳納？
